industry_title,industry,occupation_title,occupation,occupation_based_setting
Truck transportation ,6170,Rehabilitation counselors,2005,Social service
Bus service and urban transit ,6180,Rehabilitation counselors,2005,Social service
Taxi and limousine service ,6190,Rehabilitation counselors,2005,Social service
Pipeline transportation ,6270,Rehabilitation counselors,2005,Social service
Services incidental to transportation ,6290,Rehabilitation counselors,2005,Social service
Postal Service ,6370,Rehabilitation counselors,2005,Social service
Couriers and messengers ,6380,Rehabilitation counselors,2005,Social service
Warehousing and storage ,6390,Rehabilitation counselors,2005,Social service
"Electric power generation, transmission and distribution",570,Rehabilitation counselors,2005,Social service
Natural gas distribution ,580,Rehabilitation counselors,2005,Social service
"Electric and gas, and other combinations ",590,Rehabilitation counselors,2005,Social service
"Water, steam, air-conditioning, and irrigation systems ",670,Rehabilitation counselors,2005,Social service
Sewage treatment facilities ,680,Rehabilitation counselors,2005,Social service
Not specified utilities ,690,Rehabilitation counselors,2005,Social service
Newspaper publishers,6470,Rehabilitation counselors,2005,Social service
Software publishers,6490,Rehabilitation counselors,2005,Social service
Broadcasting (except internet),6670,Rehabilitation counselors,2005,Social service
Internet publishing and broadcasting and web search portals,6672,Rehabilitation counselors,2005,Social service
Wired telecommunications carriers ,6680,Rehabilitation counselors,2005,Social service
"Telecommunications, except wired telecommunications carriers ",6690,Rehabilitation counselors,2005,Social service
"Data processing, hosting, and related services",6695,Rehabilitation counselors,2005,Social service
Libraries and archives,6770,Rehabilitation counselors,2005,Social service
"Other information services, except libraries and archives, and internet publishing and broadcasting and web search portals",6780,Rehabilitation counselors,2005,Social service
Banking and related activities,6870,Rehabilitation counselors,2005,Social service
"Savings institutions, including credit unions ",6880,Rehabilitation counselors,2005,Social service
Nondepository credit and related activities,6890,Rehabilitation counselors,2005,Social service
"Securities, commodities, funds, trusts, and other financial investments",6970,Rehabilitation counselors,2005,Social service
Insurance carriers,6991,Rehabilitation counselors,2005,Social service
"Agencies, brokerages, and other insurance related activities",6992,Rehabilitation counselors,2005,Social service
Automotive equipment rental and leasing ,7080,Rehabilitation counselors,2005,Social service
Legal services ,7270,Rehabilitation counselors,2005,Social service
"Accounting, tax preparation, bookkeeping, and payroll services",7280,Rehabilitation counselors,2005,Social service
Computer systems design and related services ,7380,Rehabilitation counselors,2005,Social service
Veterinary services ,7480,Rehabilitation counselors,2005,Social service
Management of companies and enterprises ,7570,Rehabilitation counselors,2005,Social service
Investigation and security services ,7680,Rehabilitation counselors,2005,Social service
Services to buildings and dwellings (except cleaning during construction and immediately after construction) ,7690,Rehabilitation counselors,2005,Social service
Landscaping services,7770,Rehabilitation counselors,2005,Social service
Waste management and remediation services ,7790,Rehabilitation counselors,2005,Social service
Offices of physicians ,7970,Rehabilitation counselors,2005,Social service
Offices of dentists ,7980,Rehabilitation counselors,2005,Social service
Offices of chiropractors ,7990,Rehabilitation counselors,2005,Social service
Offices of optometrists ,8070,Rehabilitation counselors,2005,Social service
Offices of other health practitioners  ,8080,Rehabilitation counselors,2005,Social service
Outpatient care centers ,8090,Rehabilitation counselors,2005,Social service
Home health care services ,8170,Rehabilitation counselors,2005,Social service
Other health care services ,8180,Rehabilitation counselors,2005,Social service
"General medical and surgical hospitals, and specialty (except psychiatric and substance abuse) hospitals",8191,Rehabilitation counselors,2005,Social service
Psychiatric and substance abuse hospitals,8192,Rehabilitation counselors,2005,Social service
Nursing care facilities (skilled nursing facilities),8270,Rehabilitation counselors,2005,Social service
"Residential care facilities, except skilled nursing facilities",8290,Rehabilitation counselors,2005,Social service
Individual and family services ,8370,Rehabilitation counselors,2005,Social service
"Community food and housing, and emergency services ",8380,Rehabilitation counselors,2005,Social service
Vocational rehabilitation services ,8390,Rehabilitation counselors,2005,Social service
Traveler accommodation ,8660,Rehabilitation counselors,2005,Social service
Restaurants and other food services ,8680,Rehabilitation counselors,2005,Social service
Automotive repair and maintenance ,8770,Rehabilitation counselors,2005,Social service
Electronic and precision equipment repair and maintenance,8790,Rehabilitation counselors,2005,Social service
Commercial and industrial machinery and equipment repair and maintenance,8870,Rehabilitation counselors,2005,Social service
Drycleaning and laundry services ,9070,Rehabilitation counselors,2005,Social service
"Funeral homes, and cemeteries and crematories ",9080,Rehabilitation counselors,2005,Social service
Religious organizations ,9160,Rehabilitation counselors,2005,Social service
Private households ,9290,Rehabilitation counselors,2005,Social service
Public finance activities ,9380,Rehabilitation counselors,2005,Social service
Administration of human resource programs  ,9480,Rehabilitation counselors,2005,Social service
Administration of environmental quality and housing programs ,9490,Rehabilitation counselors,2005,Social service
Administration of economic programs and space research,9570,Rehabilitation counselors,2005,Social service
"Justice, public order, and safety activities ",9470,"Counselors, all other",2006,Correctional facility
Executive offices and legislative bodies ,9370,"Counselors, all other",2006,Correctional facility
Other general government and support ,9390,"Counselors, all other",2006,Correctional facility
National security and international affairs ,9590,"Counselors, all other",2006,Correctional facility
Crop production  ,170,"Counselors, all other",2006,Social service
Animal production and aquaculture,180,"Counselors, all other",2006,Social service
Forestry except logging ,190,"Counselors, all other",2006,Social service
Logging ,270,"Counselors, all other",2006,Social service
"Fishing, hunting and trapping ",280,"Counselors, all other",2006,Social service
Support activities for agriculture and forestry ,290,"Counselors, all other",2006,Social service
Oil and gas extraction ,370,"Counselors, all other",2006,Social service
Coal mining ,380,"Counselors, all other",2006,Social service
Metal ore mining ,390,"Counselors, all other",2006,Social service
Nonmetallic mineral mining and quarrying ,470,"Counselors, all other",2006,Social service
Not specified type of mining,480,"Counselors, all other",2006,Social service
Support activities for mining ,490,"Counselors, all other",2006,Social service
Construction (the cleaning of buildings and dwellings is incidental during construction and immediately after construction),770,"Counselors, all other",2006,Social service
"Animal food, grain and oilseed milling ",1070,"Counselors, all other",2006,Social service
Sugar and confectionery products ,1080,"Counselors, all other",2006,Social service
Fruit and vegetable preserving and specialty food manufacturing              ,1090,"Counselors, all other",2006,Social service
Dairy product manufacturing,1170,"Counselors, all other",2006,Social service
Animal slaughtering and processing ,1180,"Counselors, all other",2006,Social service
Retail bakeries ,1190,"Counselors, all other",2006,Social service
"Bakeries and tortilla manufacturing, except retail bakeries ",1270,"Counselors, all other",2006,Social service
"Seafood and other miscellaneous foods, n.e.c. ",1280,"Counselors, all other",2006,Social service
Not specified food industries,1290,"Counselors, all other",2006,Social service
Beverage manufacturing,1370,"Counselors, all other",2006,Social service
"Pulp, paper, and paperboard mills ",1870,"Counselors, all other",2006,Social service
Paperboard container manufacturing,1880,"Counselors, all other",2006,Social service
Miscellaneous paper and pulp products  ,1890,"Counselors, all other",2006,Social service
Printing and related support activities ,1990,"Counselors, all other",2006,Social service
Petroleum refining ,2070,"Counselors, all other",2006,Social service
Miscellaneous petroleum and coal products ,2090,"Counselors, all other",2006,Social service
"Resin, synthetic rubber, and fibers and filaments manufacturing   ",2170,"Counselors, all other",2006,Social service
Agricultural chemical manufacturing  ,2180,"Counselors, all other",2006,Social service
Pharmaceutical and medicine manufacturing,2190,"Counselors, all other",2006,Social service
"Paint, coating, and adhesive manufacturing ",2270,"Counselors, all other",2006,Social service
"Soap, cleaning compound, and cosmetics manufacturing ",2280,"Counselors, all other",2006,Social service
Industrial and miscellaneous chemicals ,2290,"Counselors, all other",2006,Social service
Plastics product manufacturing ,2370,"Counselors, all other",2006,Social service
Tire manufacturing ,2380,"Counselors, all other",2006,Social service
"Rubber products, except tires, manufacturing ",2390,"Counselors, all other",2006,Social service
"Pottery, ceramics, and plumbing fixture manufacturing  ",2470,"Counselors, all other",2006,Social service
Clay building material and refractories manufacturing,2480,"Counselors, all other",2006,Social service
Glass and glass product manufacturing ,2490,"Counselors, all other",2006,Social service
"Cement, concrete, lime, and gypsum product manufacturing ",2570,"Counselors, all other",2006,Social service
Miscellaneous nonmetallic mineral product manufacturing ,2590,"Counselors, all other",2006,Social service
Iron and steel mills and steel product manufacturing  ,2670,"Counselors, all other",2006,Social service
Aluminum production and processing  ,2680,"Counselors, all other",2006,Social service
Nonferrous metal (except aluminum) production and processing ,2690,"Counselors, all other",2006,Social service
Foundries ,2770,"Counselors, all other",2006,Social service
Metal forgings and stampings ,2780,"Counselors, all other",2006,Social service
Cutlery and hand tool manufacturing  ,2790,"Counselors, all other",2006,Social service
"Structural metals, and boiler, tank, and shipping container manufacturing ",2870,"Counselors, all other",2006,Social service
"Machine shops; turned product; screw, nut, and bolt manufacturing  ",2880,"Counselors, all other",2006,Social service
"Coating, engraving, heat treating, and allied activities ",2890,"Counselors, all other",2006,Social service
Ordnance ,2970,"Counselors, all other",2006,Social service
Miscellaneous fabricated metal products manufacturing             ,2980,"Counselors, all other",2006,Social service
Not specified metal industries,2990,"Counselors, all other",2006,Social service
"Construction, and mining and oil and gas field machinery manufacturing ",3080,"Counselors, all other",2006,Social service
Commercial and service industry machinery manufacturing,3095,"Counselors, all other",2006,Social service
Metalworking machinery manufacturing,3170,"Counselors, all other",2006,Social service
"Engine, turbine, and power transmission equipment manufacturing",3180,"Counselors, all other",2006,Social service
"Machinery manufacturing, n.e.c. or not specified",3291,"Counselors, all other",2006,Social service
Computer and peripheral equipment manufacturing,3365,"Counselors, all other",2006,Social service
"Communications, audio, and video equipment manufacturing",3370,"Counselors, all other",2006,Social service
"Navigational, measuring, electromedical, and control instruments manufacturing",3380,"Counselors, all other",2006,Social service
Household appliance manufacturing ,3470,"Counselors, all other",2006,Social service
"Electric lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.",3490,"Counselors, all other",2006,Social service
Motor vehicles and motor vehicle equipment manufacturing ,3570,"Counselors, all other",2006,Social service
Aircraft and parts manufacturing,3580,"Counselors, all other",2006,Social service
Aerospace products and parts manufacturing ,3590,"Counselors, all other",2006,Social service
Railroad rolling stock manufacturing,3670,"Counselors, all other",2006,Social service
Ship and boat building ,3680,"Counselors, all other",2006,Social service
Other transportation equipment manufacturing,3690,"Counselors, all other",2006,Social service
Sawmills and wood preservation ,3770,"Counselors, all other",2006,Social service
"Veneer, plywood, and engineered wood products ",3780,"Counselors, all other",2006,Social service
Prefabricated wood buildings and mobile homes manufacturing,3790,"Counselors, all other",2006,Social service
Miscellaneous wood products ,3875,"Counselors, all other",2006,Social service
Medical equipment and supplies manufacturing,3960,"Counselors, all other",2006,Social service
Motor vehicle and motor vehicle parts and supplies merchant wholesalers,4070,"Counselors, all other",2006,Social service
Lumber and other construction materials merchant wholesalers ,4090,"Counselors, all other",2006,Social service
"Metals and minerals, except petroleum, merchant wholesalers                         ",4180,"Counselors, all other",2006,Social service
Household appliances and electrical and electronic goods merchant wholesalers ,4195,"Counselors, all other",2006,Social service
"Hardware, and plumbing and heating equipment, and supplies merchant wholesalers",4265,"Counselors, all other",2006,Social service
"Machinery, equipment, and supplies merchant wholesalers     ",4270,"Counselors, all other",2006,Social service
Paper and paper products merchant wholesalers ,4370,"Counselors, all other",2006,Social service
"Drugs, sundries, and chemical and allied products merchant  wholesalers ",4380,"Counselors, all other",2006,Social service
Grocery and related product merchant wholesalers ,4470,"Counselors, all other",2006,Social service
Farm product raw material merchant wholesalers ,4480,"Counselors, all other",2006,Social service
Petroleum and petroleum products merchant wholesalers ,4490,"Counselors, all other",2006,Social service
Alcoholic beverages merchant wholesalers ,4560,"Counselors, all other",2006,Social service
Farm supplies merchant wholesalers ,4570,"Counselors, all other",2006,Social service
Automobile dealers ,4670,"Counselors, all other",2006,Social service
"Automotive parts, accessories, and tire stores",4690,"Counselors, all other",2006,Social service
Household appliance stores ,4780,"Counselors, all other",2006,Social service
Electronics Stores,4795,"Counselors, all other",2006,Social service
Building material and supplies dealers  ,4870,"Counselors, all other",2006,Social service
Hardware stores ,4880,"Counselors, all other",2006,Social service
Lawn and garden equipment and supplies stores ,4890,"Counselors, all other",2006,Social service
Supermarkets and other grocery (except convenience) stores,4971,"Counselors, all other",2006,Social service
Convenience Stores,4972,"Counselors, all other",2006,Social service
Specialty food stores,4980,"Counselors, all other",2006,Social service
"Beer, wine, and liquor stores ",4990,"Counselors, all other",2006,Social service
Pharmacies and drug stores ,5070,"Counselors, all other",2006,Social service
Gasoline stations ,5090,"Counselors, all other",2006,Social service
Book stores and news dealers ,5370,"Counselors, all other",2006,Social service
"General merchandise stores, including warehouse clubs and supercenters ",5391,"Counselors, all other",2006,Social service
Florists,5470,"Counselors, all other",2006,Social service
Office supplies and stationery stores ,5480,"Counselors, all other",2006,Social service
Electronic shopping and mail-order houses,5593,"Counselors, all other",2006,Social service
Fuel dealers ,5680,"Counselors, all other",2006,Social service
Air transportation ,6070,"Counselors, all other",2006,Social service
Rail transportation ,6080,"Counselors, all other",2006,Social service
Water transportation ,6090,"Counselors, all other",2006,Social service
Truck transportation ,6170,"Counselors, all other",2006,Social service
Bus service and urban transit ,6180,"Counselors, all other",2006,Social service
Taxi and limousine service ,6190,"Counselors, all other",2006,Social service
Pipeline transportation ,6270,"Counselors, all other",2006,Social service
Services incidental to transportation ,6290,"Counselors, all other",2006,Social service
Postal Service ,6370,"Counselors, all other",2006,Social service
Couriers and messengers ,6380,"Counselors, all other",2006,Social service
Warehousing and storage ,6390,"Counselors, all other",2006,Social service
"Electric power generation, transmission and distribution",570,"Counselors, all other",2006,Social service
Natural gas distribution ,580,"Counselors, all other",2006,Social service
"Electric and gas, and other combinations ",590,"Counselors, all other",2006,Social service
"Water, steam, air-conditioning, and irrigation systems ",670,"Counselors, all other",2006,Social service
Sewage treatment facilities ,680,"Counselors, all other",2006,Social service
Not specified utilities ,690,"Counselors, all other",2006,Social service
Newspaper publishers,6470,"Counselors, all other",2006,Social service
Software publishers,6490,"Counselors, all other",2006,Social service
Broadcasting (except internet),6670,"Counselors, all other",2006,Social service
Internet publishing and broadcasting and web search portals,6672,"Counselors, all other",2006,Social service
Wired telecommunications carriers ,6680,"Counselors, all other",2006,Social service
"Telecommunications, except wired telecommunications carriers ",6690,"Counselors, all other",2006,Social service
"Data processing, hosting, and related services",6695,"Counselors, all other",2006,Social service
Libraries and archives,6770,"Counselors, all other",2006,Social service
"Other information services, except libraries and archives, and internet publishing and broadcasting and web search portals",6780,"Counselors, all other",2006,Social service
Banking and related activities,6870,"Counselors, all other",2006,Social service
"Savings institutions, including credit unions ",6880,"Counselors, all other",2006,Social service
Nondepository credit and related activities,6890,"Counselors, all other",2006,Social service
"Securities, commodities, funds, trusts, and other financial investments",6970,"Counselors, all other",2006,Social service
Insurance carriers,6991,"Counselors, all other",2006,Social service
"Agencies, brokerages, and other insurance related activities",6992,"Counselors, all other",2006,Social service
Automotive equipment rental and leasing ,7080,"Counselors, all other",2006,Social service
Legal services ,7270,"Counselors, all other",2006,Social service
"Accounting, tax preparation, bookkeeping, and payroll services",7280,"Counselors, all other",2006,Social service
Computer systems design and related services ,7380,"Counselors, all other",2006,Social service
Veterinary services ,7480,"Counselors, all other",2006,Social service
Management of companies and enterprises ,7570,"Counselors, all other",2006,Social service
Investigation and security services ,7680,"Counselors, all other",2006,Social service
Services to buildings and dwellings (except cleaning during construction and immediately after construction) ,7690,"Counselors, all other",2006,Social service
Landscaping services,7770,"Counselors, all other",2006,Social service
Waste management and remediation services ,7790,"Counselors, all other",2006,Social service
Offices of physicians ,7970,"Counselors, all other",2006,Social service
Offices of dentists ,7980,"Counselors, all other",2006,Social service
Offices of chiropractors ,7990,"Counselors, all other",2006,Social service
Offices of optometrists ,8070,"Counselors, all other",2006,Social service
Offices of other health practitioners  ,8080,"Counselors, all other",2006,Social service
Outpatient care centers ,8090,"Counselors, all other",2006,Social service
Home health care services ,8170,"Counselors, all other",2006,Social service
Other health care services ,8180,"Counselors, all other",2006,Social service
"General medical and surgical hospitals, and specialty (except psychiatric and substance abuse) hospitals",8191,"Counselors, all other",2006,Social service
Psychiatric and substance abuse hospitals,8192,"Counselors, all other",2006,Social service
Nursing care facilities (skilled nursing facilities),8270,"Counselors, all other",2006,Social service
"Residential care facilities, except skilled nursing facilities",8290,"Counselors, all other",2006,Social service
Individual and family services ,8370,"Counselors, all other",2006,Social service
"Community food and housing, and emergency services ",8380,"Counselors, all other",2006,Social service
Vocational rehabilitation services ,8390,"Counselors, all other",2006,Social service
Traveler accommodation ,8660,"Counselors, all other",2006,Social service
Restaurants and other food services ,8680,"Counselors, all other",2006,Social service
Automotive repair and maintenance ,8770,"Counselors, all other",2006,Social service
Electronic and precision equipment repair and maintenance,8790,"Counselors, all other",2006,Social service
Commercial and industrial machinery and equipment repair and maintenance,8870,"Counselors, all other",2006,Social service
Drycleaning and laundry services ,9070,"Counselors, all other",2006,Social service
"Funeral homes, and cemeteries and crematories ",9080,"Counselors, all other",2006,Social service
Religious organizations ,9160,"Counselors, all other",2006,Social service
Private households ,9290,"Counselors, all other",2006,Social service
Public finance activities ,9380,"Counselors, all other",2006,Social service
Administration of human resource programs  ,9480,"Counselors, all other",2006,Social service
Administration of environmental quality and housing programs ,9490,"Counselors, all other",2006,Social service
Administration of economic programs and space research,9570,"Counselors, all other",2006,Social service
Crop production  ,170,"Child, family, and school social workers",2011,Other schools
Animal production and aquaculture,180,"Child, family, and school social workers",2011,Other schools
Forestry except logging ,190,"Child, family, and school social workers",2011,Other schools
Logging ,270,"Child, family, and school social workers",2011,Other schools
"Fishing, hunting and trapping ",280,"Child, family, and school social workers",2011,Other schools
Support activities for agriculture and forestry ,290,"Child, family, and school social workers",2011,Other schools
Oil and gas extraction ,370,"Child, family, and school social workers",2011,Other schools
Coal mining ,380,"Child, family, and school social workers",2011,Other schools
Metal ore mining ,390,"Child, family, and school social workers",2011,Other schools
Nonmetallic mineral mining and quarrying ,470,"Child, family, and school social workers",2011,Other schools
Not specified type of mining,480,"Child, family, and school social workers",2011,Other schools
Support activities for mining ,490,"Child, family, and school social workers",2011,Other schools
Construction (the cleaning of buildings and dwellings is incidental during construction and immediately after construction),770,"Child, family, and school social workers",2011,Other schools
"Animal food, grain and oilseed milling ",1070,"Child, family, and school social workers",2011,Other schools
Sugar and confectionery products ,1080,"Child, family, and school social workers",2011,Other schools
Fruit and vegetable preserving and specialty food manufacturing              ,1090,"Child, family, and school social workers",2011,Other schools
Dairy product manufacturing,1170,"Child, family, and school social workers",2011,Other schools
Animal slaughtering and processing ,1180,"Child, family, and school social workers",2011,Other schools
Retail bakeries ,1190,"Child, family, and school social workers",2011,Other schools
"Bakeries and tortilla manufacturing, except retail bakeries ",1270,"Child, family, and school social workers",2011,Other schools
"Seafood and other miscellaneous foods, n.e.c. ",1280,"Child, family, and school social workers",2011,Other schools
Not specified food industries,1290,"Child, family, and school social workers",2011,Other schools
Beverage manufacturing,1370,"Child, family, and school social workers",2011,Other schools
"Pulp, paper, and paperboard mills ",1870,"Child, family, and school social workers",2011,Other schools
Paperboard container manufacturing,1880,"Child, family, and school social workers",2011,Other schools
Miscellaneous paper and pulp products  ,1890,"Child, family, and school social workers",2011,Other schools
Printing and related support activities ,1990,"Child, family, and school social workers",2011,Other schools
Petroleum refining ,2070,"Child, family, and school social workers",2011,Other schools
Miscellaneous petroleum and coal products ,2090,"Child, family, and school social workers",2011,Other schools
"Resin, synthetic rubber, and fibers and filaments manufacturing   ",2170,"Child, family, and school social workers",2011,Other schools
Agricultural chemical manufacturing  ,2180,"Child, family, and school social workers",2011,Other schools
Pharmaceutical and medicine manufacturing,2190,"Child, family, and school social workers",2011,Other schools
"Paint, coating, and adhesive manufacturing ",2270,"Child, family, and school social workers",2011,Other schools
"Soap, cleaning compound, and cosmetics manufacturing ",2280,"Child, family, and school social workers",2011,Other schools
Industrial and miscellaneous chemicals ,2290,"Child, family, and school social workers",2011,Other schools
Plastics product manufacturing ,2370,"Child, family, and school social workers",2011,Other schools
Tire manufacturing ,2380,"Child, family, and school social workers",2011,Other schools
"Rubber products, except tires, manufacturing ",2390,"Child, family, and school social workers",2011,Other schools
"Pottery, ceramics, and plumbing fixture manufacturing  ",2470,"Child, family, and school social workers",2011,Other schools
Clay building material and refractories manufacturing,2480,"Child, family, and school social workers",2011,Other schools
Glass and glass product manufacturing ,2490,"Child, family, and school social workers",2011,Other schools
"Cement, concrete, lime, and gypsum product manufacturing ",2570,"Child, family, and school social workers",2011,Other schools
Miscellaneous nonmetallic mineral product manufacturing ,2590,"Child, family, and school social workers",2011,Other schools
Iron and steel mills and steel product manufacturing  ,2670,"Child, family, and school social workers",2011,Other schools
Aluminum production and processing  ,2680,"Child, family, and school social workers",2011,Other schools
Nonferrous metal (except aluminum) production and processing ,2690,"Child, family, and school social workers",2011,Other schools
Foundries ,2770,"Child, family, and school social workers",2011,Other schools
Metal forgings and stampings ,2780,"Child, family, and school social workers",2011,Other schools
Cutlery and hand tool manufacturing  ,2790,"Child, family, and school social workers",2011,Other schools
"Structural metals, and boiler, tank, and shipping container manufacturing ",2870,"Child, family, and school social workers",2011,Other schools
"Machine shops; turned product; screw, nut, and bolt manufacturing  ",2880,"Child, family, and school social workers",2011,Other schools
"Coating, engraving, heat treating, and allied activities ",2890,"Child, family, and school social workers",2011,Other schools
Ordnance ,2970,"Child, family, and school social workers",2011,Other schools
Miscellaneous fabricated metal products manufacturing             ,2980,"Child, family, and school social workers",2011,Other schools
Not specified metal industries,2990,"Child, family, and school social workers",2011,Other schools
"Construction, and mining and oil and gas field machinery manufacturing ",3080,"Child, family, and school social workers",2011,Other schools
Commercial and service industry machinery manufacturing,3095,"Child, family, and school social workers",2011,Other schools
Metalworking machinery manufacturing,3170,"Child, family, and school social workers",2011,Other schools
"Engine, turbine, and power transmission equipment manufacturing",3180,"Child, family, and school social workers",2011,Other schools
"Machinery manufacturing, n.e.c. or not specified",3291,"Child, family, and school social workers",2011,Other schools
Computer and peripheral equipment manufacturing,3365,"Child, family, and school social workers",2011,Other schools
"Communications, audio, and video equipment manufacturing",3370,"Child, family, and school social workers",2011,Other schools
"Navigational, measuring, electromedical, and control instruments manufacturing",3380,"Child, family, and school social workers",2011,Other schools
Household appliance manufacturing ,3470,"Child, family, and school social workers",2011,Other schools
"Electric lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.",3490,"Child, family, and school social workers",2011,Other schools
Motor vehicles and motor vehicle equipment manufacturing ,3570,"Child, family, and school social workers",2011,Other schools
Aircraft and parts manufacturing,3580,"Child, family, and school social workers",2011,Other schools
Aerospace products and parts manufacturing ,3590,"Child, family, and school social workers",2011,Other schools
Railroad rolling stock manufacturing,3670,"Child, family, and school social workers",2011,Other schools
Ship and boat building ,3680,"Child, family, and school social workers",2011,Other schools
Other transportation equipment manufacturing,3690,"Child, family, and school social workers",2011,Other schools
Sawmills and wood preservation ,3770,"Child, family, and school social workers",2011,Other schools
"Veneer, plywood, and engineered wood products ",3780,"Child, family, and school social workers",2011,Other schools
Prefabricated wood buildings and mobile homes manufacturing,3790,"Child, family, and school social workers",2011,Other schools
Miscellaneous wood products ,3875,"Child, family, and school social workers",2011,Other schools
Medical equipment and supplies manufacturing,3960,"Child, family, and school social workers",2011,Other schools
Motor vehicle and motor vehicle parts and supplies merchant wholesalers,4070,"Child, family, and school social workers",2011,Other schools
Lumber and other construction materials merchant wholesalers ,4090,"Child, family, and school social workers",2011,Other schools
"Metals and minerals, except petroleum, merchant wholesalers                         ",4180,"Child, family, and school social workers",2011,Other schools
Household appliances and electrical and electronic goods merchant wholesalers ,4195,"Child, family, and school social workers",2011,Other schools
"Hardware, and plumbing and heating equipment, and supplies merchant wholesalers",4265,"Child, family, and school social workers",2011,Other schools
"Machinery, equipment, and supplies merchant wholesalers     ",4270,"Child, family, and school social workers",2011,Other schools
Paper and paper products merchant wholesalers ,4370,"Child, family, and school social workers",2011,Other schools
"Drugs, sundries, and chemical and allied products merchant  wholesalers ",4380,"Child, family, and school social workers",2011,Other schools
Grocery and related product merchant wholesalers ,4470,"Child, family, and school social workers",2011,Other schools
Farm product raw material merchant wholesalers ,4480,"Child, family, and school social workers",2011,Other schools
Petroleum and petroleum products merchant wholesalers ,4490,"Child, family, and school social workers",2011,Other schools
Alcoholic beverages merchant wholesalers ,4560,"Child, family, and school social workers",2011,Other schools
Farm supplies merchant wholesalers ,4570,"Child, family, and school social workers",2011,Other schools
Automobile dealers ,4670,"Child, family, and school social workers",2011,Other schools
"Automotive parts, accessories, and tire stores",4690,"Child, family, and school social workers",2011,Other schools
Household appliance stores ,4780,"Child, family, and school social workers",2011,Other schools
Electronics Stores,4795,"Child, family, and school social workers",2011,Other schools
Building material and supplies dealers  ,4870,"Child, family, and school social workers",2011,Other schools
Hardware stores ,4880,"Child, family, and school social workers",2011,Other schools
Lawn and garden equipment and supplies stores ,4890,"Child, family, and school social workers",2011,Other schools
Supermarkets and other grocery (except convenience) stores,4971,"Child, family, and school social workers",2011,Other schools
Convenience Stores,4972,"Child, family, and school social workers",2011,Other schools
Specialty food stores,4980,"Child, family, and school social workers",2011,Other schools
"Beer, wine, and liquor stores ",4990,"Child, family, and school social workers",2011,Other schools
Pharmacies and drug stores ,5070,"Child, family, and school social workers",2011,Other schools
Gasoline stations ,5090,"Child, family, and school social workers",2011,Other schools
Book stores and news dealers ,5370,"Child, family, and school social workers",2011,Other schools
"General merchandise stores, including warehouse clubs and supercenters ",5391,"Child, family, and school social workers",2011,Other schools
Florists,5470,"Child, family, and school social workers",2011,Other schools
Office supplies and stationery stores ,5480,"Child, family, and school social workers",2011,Other schools
Electronic shopping and mail-order houses,5593,"Child, family, and school social workers",2011,Other schools
Fuel dealers ,5680,"Child, family, and school social workers",2011,Other schools
Air transportation ,6070,"Child, family, and school social workers",2011,Other schools
Rail transportation ,6080,"Child, family, and school social workers",2011,Other schools
Water transportation ,6090,"Child, family, and school social workers",2011,Other schools
Truck transportation ,6170,"Child, family, and school social workers",2011,Other schools
Bus service and urban transit ,6180,"Child, family, and school social workers",2011,Other schools
Taxi and limousine service ,6190,"Child, family, and school social workers",2011,Other schools
Pipeline transportation ,6270,"Child, family, and school social workers",2011,Other schools
Services incidental to transportation ,6290,"Child, family, and school social workers",2011,Other schools
Postal Service ,6370,"Child, family, and school social workers",2011,Other schools
Couriers and messengers ,6380,"Child, family, and school social workers",2011,Other schools
Warehousing and storage ,6390,"Child, family, and school social workers",2011,Other schools
"Electric power generation, transmission and distribution",570,"Child, family, and school social workers",2011,Other schools
Natural gas distribution ,580,"Child, family, and school social workers",2011,Other schools
"Electric and gas, and other combinations ",590,"Child, family, and school social workers",2011,Other schools
"Water, steam, air-conditioning, and irrigation systems ",670,"Child, family, and school social workers",2011,Other schools
Sewage treatment facilities ,680,"Child, family, and school social workers",2011,Other schools
Not specified utilities ,690,"Child, family, and school social workers",2011,Other schools
Newspaper publishers,6470,"Child, family, and school social workers",2011,Other schools
Software publishers,6490,"Child, family, and school social workers",2011,Other schools
Broadcasting (except internet),6670,"Child, family, and school social workers",2011,Other schools
Internet publishing and broadcasting and web search portals,6672,"Child, family, and school social workers",2011,Other schools
Wired telecommunications carriers ,6680,"Child, family, and school social workers",2011,Other schools
"Telecommunications, except wired telecommunications carriers ",6690,"Child, family, and school social workers",2011,Other schools
"Data processing, hosting, and related services",6695,"Child, family, and school social workers",2011,Other schools
Libraries and archives,6770,"Child, family, and school social workers",2011,Other schools
"Other information services, except libraries and archives, and internet publishing and broadcasting and web search portals",6780,"Child, family, and school social workers",2011,Other schools
Banking and related activities,6870,"Child, family, and school social workers",2011,Other schools
"Savings institutions, including credit unions ",6880,"Child, family, and school social workers",2011,Other schools
Nondepository credit and related activities,6890,"Child, family, and school social workers",2011,Other schools
"Securities, commodities, funds, trusts, and other financial investments",6970,"Child, family, and school social workers",2011,Other schools
Insurance carriers,6991,"Child, family, and school social workers",2011,Other schools
"Agencies, brokerages, and other insurance related activities",6992,"Child, family, and school social workers",2011,Other schools
Automotive equipment rental and leasing ,7080,"Child, family, and school social workers",2011,Other schools
Legal services ,7270,"Child, family, and school social workers",2011,Other schools
